Model,Accuracy,Cohen-Kappa,Precision,Recall,Specificity,F1-Score,G-Mean,Jaccard,MCC
LSVC,0.9982,0.9948,0.9982,0.9982,0.9982,0.9982,0.9968,0.9964,0.9948
RF,0.9987,0.9956,0.9987,0.9987,0.9987,0.9987,0.9975,0.9975,0.9956
LR,0.9977,0.9929,0.9977,0.9977,0.9977,0.9977,0.9956,0.9954,0.9929
NB,0.9933,0.9825,0.9934,0.9933,0.9933,0.9933,0.9915,0.9869,0.9826
RC,0.9941,0.9815,0.9941,0.9941,0.9941,0.994,0.9869,0.9882,0.9819
PT,0.9876,0.9666,0.9879,0.9876,0.9876,0.9875,0.981,0.9763,0.9672
SGD,0.9906,0.975,0.9908,0.9906,0.9906,0.9905,0.9856,0.982,0.9755
LGBM,0.9991,0.9969,0.9991,0.9991,0.9991,0.9991,0.9982,0.9982,0.9969
,,,,,,,,,
Model,Accuracy,Cohen-Kappa,Precision,Recall,Specificity,F1-Score,G-Mean,Jaccard,MCC
LSVC,0.9989,0.9976,0.9989,0.9989,0.9989,0.9989,0.9988,0.9977,0.9976
RF,1,0.9999,1,1,1,1,1,1,0.9999
LR,0.9988,0.9974,0.9988,0.9988,0.9988,0.9988,0.9985,0.9977,0.9974
NB,0.9983,0.9964,0.9983,0.9983,0.9983,0.9983,0.9984,0.9965,0.9964
RC,0.9989,0.9972,0.9989,0.9989,0.9989,0.9989,0.9981,0.9978,0.9972
PT,0.9901,0.9795,0.9902,0.9901,0.9901,0.9901,0.9891,0.9809,0.9797
SGD,0.9914,0.9823,0.9915,0.9914,0.9914,0.9914,0.9904,0.9833,0.9825
LGBM,0.9999,0.9998,0.9999,0.9999,0.9999,0.9999,0.9999,0.9998,0.9998
,,,,,,,,,
Model,Accuracy,Cohen-Kappa,Precision,Recall,Specificity,F1-Score,G-Mean,Jaccard,MCC
LSVC,0.9976,0.9928,0.9976,0.9976,0.9976,0.9976,0.9956,0.9953,0.9928
RF,0.998,0.9936,0.998,0.998,0.998,0.998,0.9962,0.9961,0.9936
LR,0.9967,0.9902,0.9967,0.9967,0.9967,0.9967,0.994,0.9935,0.9903
NB,0.9945,0.9844,0.9946,0.9945,0.9945,0.9945,0.9934,0.9892,0.9845
RC,0.9944,0.9816,0.9944,0.9944,0.9944,0.9943,0.9866,0.9888,0.982
PT,0.9791,0.9441,0.9797,0.9791,0.9791,0.9789,0.9689,0.9618,0.945
SGD,0.9829,0.954,0.9838,0.9829,0.9829,0.9826,0.973,0.9684,0.9556
LGBM,0.9969,0.9889,0.9973,0.9969,0.9969,0.997,0.9965,0.9943,0.9894
,,,,,,,,,
Model,Accuracy,Cohen-Kappa,Precision,Recall,Specificity,F1-Score,G-Mean,Jaccard,MCC
LSVC,0.9979,0.9936,0.9979,0.9979,0.9979,0.9979,0.996,0.9958,0.9936
RF,0.9981,0.9936,0.9981,0.9981,0.9981,0.9981,0.9966,0.9963,0.9938
LR,0.9967,0.9906,0.9967,0.9967,0.9967,0.9967,0.9942,0.9935,0.9904
